VALUES	person	number	gender

noun.act	3	ps	n
noun.animal	3	ps	mfn
noun.artifact	3	ps	n
noun.attribute	3	ps	n
noun.body	3	ps	n
noun.cognition	3	ps	n
noun.communication	3	ps	n
noun.event	3	ps	n
noun.feeling	3	ps	n
noun.food	3	ps	n
noun.group	3	p	mfn
noun.location	3	ps	n
noun.motive	3	s	n
noun.object	3	ps	n
noun.person	3	ps	mf
noun.phenomenon	3	ps	n
noun.plant	3	ps	n
noun.possession	3	ps	n
noun.process	3	ps	n
noun.quantity	3	ps	~
noun.relation	3	ps	~
noun.shape	3	ps	n
noun.state	3	ps	n
noun.substance	3	s	n
noun.time	3	ps	n
